farm_id,timestamp,temperature_c,sunlight_hours,color_intensity,ph,nutrients_mg_l,co2_ppm,dissolved_oxygen_mg_l,water_quality_index,current_biomass_kg_m2,future_biomass_kg_m2
1,2025-01-01,25.96,8.025,225.123,7.569,68.44,387.327,10.669,86.843,2.8835,2.892
1,2025-01-02,,8.075,222.408,7.461,90.662,459.332,10.247,88.806,2.892,2.9711
1,2025-01-03,27.627,7.433,235.344,7.374,91.862,446.815,10.152,87.062,2.9711,3.0294
1,2025-01-04,28.402,7.894,240.819,7.928,80.844,442.509,10.186,88.578,3.0294,3.058
1,2025-01-05,27.43,7.047,233.115,7.703,89.125,486.42,9.872,88.019,3.058,3.1091
1,2025-01-06,29.383,7.811,232.139,7.747,84.473,483.087,10.799,83.691,3.1091,3.1395
1,2025-01-07,28.069,7.493,234.791,7.929,77.86,510.866,9.615,86.208,3.1395,3.185
1,2025-01-08,29.566,8.272,228.254,7.627,80.451,509.365,10.636,84.355,3.185,3.2115
1,2025-01-09,29.446,7.847,240.677,7.839,80.31,485.536,10.813,86.393,3.2115,3.2317
1,2025-01-10,28.627,7.511,241.534,7.518,86.175,462.486,10.385,88.971,3.2317,3.3004
1,2025-01-11,28.883,7.512,240.045,7.73,70.281,425.498,9.785,84.886,3.3004,3.3089
1,2025-01-12,28.549,8.748,240.716,7.686,86.449,,10.844,85.094,3.3089,3.3813
1,2025-01-13,27.106,8.173,243.974,7.791,76.201,415.22,10.71,85.946,3.3813,3.4172
1,2025-01-14,30.31,7.732,245.815,7.555,80.579,466.239,11.091,89.739,3.4172,3.4957
1,2025-01-15,27.373,7.482,231.901,7.558,75.464,401.868,10.653,87.142,3.4957,3.5091
1,2025-01-16,28.718,8.546,253.257,8.063,97.378,455.082,10.401,81.456,3.5091,3.5165
1,2025-01-17,27.831,7.561,232.634,7.65,83.165,435.847,10.331,84.955,3.5165,3.5487
1,2025-01-18,28.045,9.257,245.053,7.667,,402.147,10.632,85.106,3.5487,3.6505
1,2025-01-19,27.15,8.636,246.774,7.443,79.543,422.131,10.816,87.795,3.6505,3.7111
